Jarnail Singh,AAP,0,Post Graduate,41,11542391,222000,West Delhi
Jarnail Singh S/O Gurbax Singh,IND,0,8th Pass,59,5955021,0,West Delhi
Jarnail Singh S/O Rajinder Singh,IND,0,10th Pass,44,2457012,0,West Delhi
Karam Chand Lathwal,Bhartiya Pragatisheel Congress,0,Post Graduate,48,28936843,0,West Delhi
Mahabal Mishra,INC,1,12th Pass,59,388226286,8691614,West Delhi
Parvesh Sahib Singh,BJP,1,Post Graduate,36,107235461,26650000,West Delhi
Raj Pal Singh,BSP,0,Graduate,51,30390435,0,West Delhi
Rakesh Kumar,Bhartiya Janta Dal (Integrated),0,10th Pass,31,40000,0,West Delhi
Sunil Sourabh,IND,0,Post Graduate,45,4963000,0,West Delhi
Uday Kumar Singh,Bahujan Mukti Party,0,12th Pass,31,5144079,900000,West Delhi
Virender Mohan Vats,IND,0,Graduate,56,910714,300000,West Delhi
